name,lat,long
Sydney Airport,151.17861029283173,-33.94431742362344
Eastlakes,151.21052694454931,-33.930802607687426
Mascot,151.1918457305795,-33.927959759220286
Petersham - Stanmore,151.16196785856866,-33.89471514773935
Sydenham - Tempe - St Peters,151.1693908912299,-33.92033505654564
Marrickville - North,151.16166842618026,-33.90624642193886
Marrickville - South,151.14980034392437,-33.91595747148281
Darlinghurst,151.21944520988714,-33.87789690376869
Erskineville - Alexandria,151.19146924294245,-33.908473208601464
Glebe - Forest Lodge,151.18477731060705,-33.87919105971557
Potts Point - Woolloomooloo,151.2240948858122,-33.87008862273517
Surry Hills,151.2119807574165,-33.885606877613256
Camperdown - Darlington,151.1847594522246,-33.889287620924364
Chippendale,151.19965316948975,-33.88636341472463
Newtown (NSW),151.1795215305661,-33.89868936820793
Pyrmont,151.19352446554532,-33.86900647439458
Redfern,151.20217695950876,-33.89385871260375
Rosebery - Beaconsfield,151.20535048119234,-33.91657761795902
Sydney (North) - Millers Point,151.2092186909993,-33.864733917659755
Sydney (South) - Haymarket,151.20425277647266,-33.877995586389915
Ultimo,151.1979580040125,-33.88023961234382
Waterloo,151.20722312334055,-33.899863242486546
Zetland,151.20858059398734,-33.907462164215445
Bondi - Tamarama - Bronte,151.26498893307573,-33.899961077936396
Bondi Beach - North Bondi,151.27540690807226,-33.88709169273263
Bondi Junction - Waverly,151.2507948230986,-33.897169250323245
Centennial Park,151.23426118299068,-33.89834855710218
Dover Heights,151.27975272529443,-33.87104068705081
Paddington - Moore Park,151.22498873431147,-33.890232809057146
Rose Bay - Vaucluse - Watsons Bay,151.27414333985317,-33.859962380691854
Woollahra,151.24367539116128,-33.886781622742994
Bellevue Hill,151.25478223442784,-33.87854388537835
Double Bay - Darling Point,151.2390274729118,-33.875691352738464
Kensington (NSW),151.2207566347911,-33.91336261070048
Kingsford,151.228966941633,-33.9251427768126
Maroubra - North,151.25041787162843,-33.93921056727416
Maroubra - South,151.24877122456837,-33.948317755640694
Maroubra - West,151.23447733874335,-33.943912926710745
Randwick - North,151.24414969718558,-33.9080643519631
Randwick - South,151.23934352439906,-33.919740288085976
Coogee - Clovelly,151.2569419951824,-33.917409811047165
Malabar - La Perouse,151.24705549350224,-33.97663759517912
Matraville - Chifley,151.23654527542854,-33.96267796561964
South Coogee,151.2544790929637,-33.932452702026765
Bass Hill - Georges Hall,150.9882403740301,-33.90110736169008
Chullora,151.04399526233308,-33.89265250983675
Condell Park,150.99999393679053,-33.92668579452429
Padstow,151.03233010279146,-33.95793302869623
Revesby,151.01622615806448,-33.951999266788725
Yagoona - Birrong,151.02013814494228,-33.902194950105184
Bankstown - North,151.03100331470822,-33.91333114669333
Bankstown - South,151.032243438525,-33.927696607718126
Greenacre - North,151.06066464361265,-33.899411514809465
Greenacre - South,151.05531321193257,-33.911339543224706
Panania (North) - Milperra,150.98439896374836,-33.94445183368189
Panania (South) - Picnic Point,151.00290659917974,-33.96802605676507
Belmore - Belfield,151.0879719701368,-33.913239612257414
Punchbowl,151.05184763649137,-33.931007192004124
Roselands,151.07567950573994,-33.935242213650994
Lakemba,151.07640627763982,-33.918974354452516
Wiley Park,151.0673724917853,-33.92419076865439
Campsie - North,151.10215266852828,-33.907051955478565
Campsie - South,151.1034106984657,-33.91451316241683
Canterbury - South,151.10832846845418,-33.92001639819619
Earlwood,151.12748938530532,-33.92468670255999
Kingsgrove - North,151.09792922256057,-33.93549717925079
Narwee - Beverly Hills,151.07662829181308,-33.94879403821703
Oatley - Hurstville Grove,151.08547539252606,-33.97939699899829
Peakhurst - Lugarno,151.05214209116505,-33.97088517268806
Riverwood,151.05247608322804,-33.94859383207937
South Hurstville - Blakehurst,151.10572582870967,-33.984235478086724
Hurstville - Central,151.1076033575398,-33.96512192057404
Hurstville - North,151.09732673181801,-33.95673120499124
Mortdale - Oatley,151.07004057237089,-33.97463481682811
Penshurst,151.0828982105324,-33.960417640877175
Kingsgrove (South) - Bardwell Park,151.11035386510568,-33.941779001661594
Kogarah,151.137468266691,-33.968255791954725
Kogarah Bay - Carlton - Allawah,151.12390787169966,-33.97668643071006
Monterey - Brighton-le-Sands - Kyeemagh,151.15281613257864,-33.961417125658855
Rockdale - Banksia,151.1413401807136,-33.95111192597344
Sans Souci - Ramsgate,151.13696888971404,-33.99231730748739
Arncliffe - Bardwell Valley,151.14368886127636,-33.93757274467455
Bexley - North,151.11680306485337,-33.950925548801756
Bexley - South,151.12472227849216,-33.95997104546283
Wolli Creek,151.15294541511952,-33.93155739477343
Concord - Mortlake - Cabarita,151.10580067205666,-33.85433412414228
Drummoyne - Rodd Point,151.14865184187514,-33.85563231395599
Five Dock - Abbotsford,151.1293165509228,-33.86092944798392
Concord West - North Strathfield,151.08942375766506,-33.84715764296468
Rhodes,151.08773577091108,-33.82923411705792
Balmain,151.18130015897302,-33.85590236383267
Lilyfield - Rozelle,151.1669487785963,-33.86742779265924
Annandale (NSW),151.17136089917912,-33.88081397296603
Leichhardt,151.155973902597,-33.88158843585491
Canterbury (North) - Ashbury,151.12240984852707,-33.90642825168286
Croydon Park - Enfield,151.10286951872982,-33.89455704513966
Dulwich Hill - Lewisham,151.14118680017054,-33.9019833522121
Haberfield - Summer Hill,151.13929023381232,-33.88241004302993
Homebush,151.07519863954866,-33.86291640722736
Strathfield South,151.0770192563292,-33.895065432597995
Ashfield - North,151.12783284057073,-33.88283983177404
Ashfield - South,151.12530579156768,-33.89481923556039
Burwood (NSW),151.10210693314536,-33.878159066172785
Croydon,151.11470335262732,-33.8781055853054
Strathfield - East,151.0911084551937,-33.878709357843135
Strathfield - West,151.07550739081708,-33.878728228510894
Chatswood (West) - Lane Cove North,151.16549583919547,-33.80119034831474
St Leonards - Naremburn,151.1940837953228,-33.81782720382173
Artarmon,151.18631934371572,-33.80816507452615
Castle Cove - Northbridge,151.21663993848227,-33.79892320349767
Chatswood - East,151.18906826899797,-33.79278168515075
Greenwich - Riverview,151.17377886414016,-33.82756979614117
Lane Cove,151.15978477104053,-33.81568378422977
Willoughby,151.2014288894011,-33.80159677512156
Asquith - Mount Colah,151.12100045743955,-33.65984290598857
Berowra - Brooklyn - Cowan,151.17708438071224,-33.583412325261115
Normanhurst - Thornleigh - Westleigh,151.081643554747,-33.719117514263196
Hornsby - East,151.10734432275683,-33.700841914611594
Hornsby - West,151.09149451941659,-33.69644380131449
Wahroonga (West) - Waitara,151.10906008265832,-33.71073791752725
Gordon - Killara,151.16265266137637,-33.760540675331164
Lindfield - Roseville,151.17597693123588,-33.777720823633786
Pymble,151.1366470186223,-33.75159424952834
St Ives,151.17079398979914,-33.720859275282265
Turramurra,151.1395484466549,-33.71072682503126
Wahroonga (East) - Warrawee,151.12072936987602,-33.71633400413026
Cremorne - Cammeray,151.22221112712182,-33.82669761855851
Crows Nest - Waverton,151.19960553172365,-33.83194591667718
Neutral Bay - Kirribilli,151.217721786813,-33.83900295025455
North Sydney - Lavender Bay,151.20711085968347,-33.83911766314283
Mosman - North,151.24319358553194,-33.81923911646319
Mosman - South,151.2455255688199,-33.835081318398466
Balgowlah - Clontarf - Seaforth,151.25382190970456,-33.79779765204067
Manly - Fairlight,151.2882624321608,-33.80303388230828
Avalon - Palm Beach,151.3262327223623,-33.618729760527245
Bayview - Elanora Heights,151.26633972879353,-33.63315461329998
Newport - Bilgola,151.31603287133902,-33.65218346361765
Mona Vale - Warriewood (North),151.29986401559506,-33.67725745061429
North Narrabeen - Warriewood (South),151.29555405016143,-33.69746150305074
Beacon Hill - Narraweena,151.26449150092034,-33.75138131614219
Cromer,151.26746754243547,-33.731723146490445
Forestville - Killarney Heights,151.21580118293588,-33.76649445951657
Freshwater - Brookvale,151.27833434655042,-33.770973045754864
